
Angela	
With a serious face, Angela is asking what the true meaning of competition is. Let's give her an answer.	
Being together is enough for me	-1
Away that a mere high school student can prevent the universe from falling into chaos?	3
Well, I'm sure we'll get an answer when we get to the end of this.	-1
Angela	
Angela is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
It's surprising to see such advanced technology.	
Well, I have no problem with it as long as it functions as a soccer ball.	
Do you think we can sell it? I think we could get a good price.	3
Angela	
Angela is suddenly taking interest in who Shootmeister actually is. What should we say?	
I heard he's a super agent from Nebrion.	3
All that I care is that he's an excellent trainer.	1
I can tell that he's a very diligent person that always tries his best.	-1
Angela	
Angela's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
If you keep it up like that you'd be able to play superbly in any position.	
Remember that feeling and use it when things get tough.	
Consumed a lot of Swirlies, I see.	3
Angela	
Angela is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
You can overcome this like always. Right?	3
It's not your fault. It's your mistakes that took the opponents off guard.	
Let's solve the problems one by one.	1
Angela	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
The emperor of demons is also enjoying this match!	1
Has he gone mad?	3
I guess he's happy this is a good match.	
Angela	
Angela is angry about the opponent's resilient attack on you. What should we say?	
Don't worry about me! Do your job!	1
Can you peel this guy off of me?	3
Don't come over here! It's dangerous!	-1
Angela	
Angela is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
They're on cooldown.	3
They support us from the shadows.	
Even if they're not on the field with us, we're fighting as one.  Right?	-1
Angela	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
Kuma alert! Get back to the shelter!	-1
Let's ignore them and get ready for the match.	1
Let's give them a hand.	3
Angela	
Angela is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
I'm afraid to be honest.	-1
I was always looking forward for that moment.	3
Stay by my side and make sure I don't make any mistakes, will you?	1
Angela	
Angela is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Just act like yourself. You're already the ace.	
Well, having a good ace skill is a start.	3
Flawless skills.	
Angela	
Angela seems to be upset about losing a body check against her opponent.	
Let's make an armor out of Spirit Stones.	3
Maybe if you increase your Strength...	
Don't be weak.	1
Angela	
Angela seems to be very confused of how a small soccer ball can change the fate of the universe.	
The fate of the universe is not that simple to be changed by a soccer ball.	-1
Let's open up a bright future with this ball.	1
Look out! (Kicks the ball far away)	3
Angela	
Angela's opponent is smiling whenever they confront each other on the field. Angela seems to be nervous. Let's talk to her.	
That player is just messing with you.	3
I think that player likes you.	
You're doing fine. Don't play your opponent's game.	1
Angela	
Angela looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Did you prepare your meds in case you get space-sick? Never mind, I'll prepare the meds.	
Don't worry. Leave it up to me.	-1
Littre will be fine.	3
Angela	
You find Angela depressed for not playing well during the match. Let's cheer her up.	
Don't mind it. It's our fault. We weren't able to make use of your strength.	
You did well and I thank you for that.	3
It's not your fualt that you fell during the match. Don't worry about it!	
Angela	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
If this is how they do a memorial in Valhalla, it's natural to understand and accept.	
I think it's a nice way to cherish the memories of the lost.	-1
Maybe it was a good thing? I mean they say it's a tragedy, but look at how joyful it is.	3
Angela	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Cool! Awesome!	3
Oh, come on! Where's the transformation scene?!	
...Uh...So no soccer?	
Angela	
Angela plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
I'm thinking of opening a shop.	3
We'll see about it after the league.	
I don't care what I do after the League as long as I get to continue playing soccer.	-1
Angela	
Angela seems to be satisfied with the perfect team work. Let's talk to her.	
It's thanks to you! Thanks for listening to my instructions.	1
I'm starting to see the true strengh in this team.	3
Perfect! No mistakes made!	-1
Angela	
Angela is having trouble with continuing nightmares. Let's talk to her.	
I'll sleep by your side tonight.	-1
I see. We must be careful. I'll be watching over you.	-1
It's just a dream. Forget about it.	3
Angela	
You visit Marilyn's house and see Hildegard eating ramen.	
Can't you cook ramen by yourself?	3
Ramen, that's a dangerous food to cook.	-1
Is Marilyn your mother or nanny?	
Angela	
You come across Angela being lost and wandering around while going back to the lodging. Let's talk to her.	
Are you feeling alright?	3
Don't use that ability on the field.	
Don't worry, I'll go with you.	
	
Death Queen	
Death Queen has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
You always seem to find the weak point of the opponent's defense and I love that.	
Your attacks are so strong the opponents can't handle it. You should keep that going.	3
I hope you'd stop sharing small talks with your opponents on the field.	
Death Queen	
Death Queen wants to hear about your plans on training the new players. What should we answer?	
Perfect planning and perfect execution	
All goes as planned....Hmm? Just ignore that.	
Why don't you join them and find out?	3
Death Queen	
Ogre's pony tail slapped Death Queen in the face!	
Even his hair is a weapon! Is that even allowed?	
That must hurt.	
Ugh...Gross...	1
Death Queen	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
That's a sad story. I'm tearing up.	
I feel bad for them, but that's no excuse for throwing the game.	
It would be rude to them if we don't do our best.	3
Death Queen	
Death Queen lost to the opponent and fell to the ground. What should we do?	
This doesn't look good...Can anybody give her some heals?	
Well, this could have been prevented if you just consumed those Swirlies like I told you... 	
I will avenge you!	3
Death Queen	
Lynia is cleaning the streets with the members of Jeneva Crew. Death Queen is curious and wants to take a look.	
We should probably ignore them and just walk by.	
Let's go help them!	3
They must love volunteer work!	
Death Queen	
Death Queen is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
I hope this won't affect your performance on the field.	
The fans love your performance!	3
Should've practiced that autograph like I told you.	
Death Queen	
Death Queen scored a hat trick and led the team to a complete victory! Congratulate her!	
Hmm? Didn't we win the game when we scored the first goal?	
That was awesome! I'm looking forward to seeing more of that!	
You're starting to show the world your true potential! I'm impressed!	3
Death Queen	
Death Queen is asking who you think of first when you win a match. Let's answer.	
My teammates and their flawless play!	
My friends from previous life... They would be pleased to see me win.	
My fans!	3
Death Queen	
Death Queen says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
Hmm, a revived person that forgot his purpose...Reminds me of somebody.	
He'll remember someday.	3
That's bad. I'm sure it's something important!	
Death Queen	
Death Queen brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
The drink looks really scary...But we can't just throw it away...	
Throw it away. NOW.	
Drink it up!	3
Death Queen	
Death Queen says that the Swirlies are missing.	
They were sacrificed as material for a greater cause.	
They have wings so I'm sure they flew away.	3
I evolved them.	
Death Queen	
Death Queen seems to be curious about Bora's covered eye. What should we answer?	
I don't know much about her, but she looks strong.	3
The eye patch...I wonder if she washes it. She seems to have it on all times.	
That's dangerous secret you're trying to find out about. Do you still want to know?	
Death Queen	
A player on the other side is on the field with his arms tied up. Let's talk about this with Death Queen.	
I feel like he's mocking us!	3
It hurts when the whip first crackles. And the pain just keeps ramping up.	
He still has his two legs functioning. I see no problem with that.	1
Death Queen	
The team made it up to the semi-finals after counting the goal differences. Death Queen asks how you feel. How should we answer?	
What, are you expecting something like "I feel like i can fly" or something?	
This is where things get serious. We're going for the win!	3
Wow. I'm sooooo happy.	1
Death Queen	
The crowd is cheering for Death Queen. Death Queen seems to find this situation new and a bit uncomfortable. Let's help her out.	
They're all in love with your enthusiastic plays.	3
They know you gave everything you got. It was spectacular.	
How about just acceping the compliments for today?	
Death Queen	
Death Queen is worried about the team's poor performance. Let's go talk to her.	
Everybody is not at 100%. But, I think we'll do better sooner or later.	3
It's all because nobody on this team cares about strategy! This is nonsense!	
We haven't awakened our TRUE powers! We have to go further beyond!	-1
Death Queen	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Well, now what?	
Come back Huginn! Wait, is it Muninn?	
A crow?!	3
Death Queen	
You're walking in a narrow ally and come across Death Queen having an intense staring contest with the captain of the opposing team. What should we say?	
Save the energy for the match.	
How about solving this with a game of rock, scissors, paper?	
...I see two idiots standing in front of me...	-1
Death Queen	
Death Queen suggests that we have a team dinner to lighten things up. What will be your reaction?	
How about a salad? I'm on a diet.	
How could you think about eating in a time like this? I'm dissapointed in you.	
Good idea. Let's go get some meat!	3
Death Queen	
Death Queen is saying that her teammates are what keeps her going.	
(Put your thumbs up, ink, and send a juicy smile.)	3
(Pat her on the head.)	
(Just nod your head.)	
Death Queen	
As Death Queen said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
I'm sure it's going in a good direction.	1
I feel like the universe is heading towards chaos.	
It's not the Galaxy League. We are the ones that are leading the fate of this universe.	3
Death Queen	
Death Queen is asking what to buy in the souvenir shop. Let's give her an opinion.	
This is your chance to buy the hottest fashion items in space!	1
Gate Keeper dolls!Why not!	
How about some presents for your parents?	1
Death Queen	
Death Queen falls to the ground after clashing with the opponent. What should we say to her?	 
If that's all you've got, just stay down. It's okay.	
Get up! The game's not over! You better not give up!	3
Well, let's start by dropping that player's HP to 1.	1
Death Queen	
Death Queen is curious about the Galaxy League. What answer will help her?	
It's the place where the chosen ones learn about their destiny.	-1
It's the place of dreams colliding.	
It's stressful because we can't prepare for extraterrestrial sanitation. We're completely exposed to all those unknown...things	
Death Queen	
You come across Sammy while walking the street with Death Queen. Let's talk to her.	
We'll win next time!	3
Do you also do fortune telling? I think I'm in love.	
(Ignore.)	
Death Queen	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
...The stress has finally got to him. It must be that...	3
Ugh...I want to dig my eyes out.	
Fontus...You sure are my archnemesis!	
Death Queen	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
I could throw the ball and continue the match, but my honor wouldn't allow that.	
I guess I finally get to meet my archnemesis.	-1
Wow, congratulations! (Claps)	3
Death Queen	
Death Queen is suddenly showing massive improvement in her performance. She must've learned something during a match.	
Impressive! You're the ace of this team now!	3
You've become better. Now you need to focus on staying that way.	
I knew this day would come.	
Death Queen	
It's a very intense match and Death Queen falls on the ground, but a player on the other team helps Death Queen up and the two exchange smiles.	
Guess the match isn't that tough for you, huh?	
True sportsmanship! Wonderful!	3
That player must have a heart of gold.	
Death Queen	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
I can't stand this...I need to end this quickly and go take a shower.	
What a depressing weather...	
Well, if it's a muddy dog fight they want, let's give it to them!	3
	
Elise	
Elise seems to be upset about losing a body check against her opponent.	
Let's make an armor out of Spirit Stones.	3
Maybe if you increase your Strength...	
Don't be weak.	
	
Jiho	
Jiho is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to her?	
That doesn't change what we must do.	3
Come on, cheer up. You're not being yourself.	
Stop whining. I like it better when you're arrogant and sarcastic.	
Jiho	
Jiho is questioning Kuma's status as a Gate Keeper.	
He's just material for leveling up.	
I like how all of the Gate Keepers have different characteristics.	3
That bear...Is a hero...!	
Jiho	
Jiho came back without a penny after marching into the Casino.	
What happened to you? Do you want me to lend you some money?	-1
I'm sure you got scammed.	-1
I hope that wasn't all you got.	
Jiho	
It seems that Jiho is lost in the Nadir forest. What should we do?	
Listen carefully and you'll find her.	-1
Let's ask Khirel to find her...	
Jiho? Nah, she never get lost.	3
Jiho	
Jiho is worried that she has to face demons, black holes and other dangerous things. What should we tell her?	
Look at the beautiful players! This is paradise!	1
You're the most dangerous of them all.	-1
Makes it worth the challenge, don't you think so?	3
Jiho	
Preparing for the press conference, you're talking with Jiho on which player you think has the brightest future. What will you say?	
You and I are already perfect. So I guess that means we wouldn't be saying our names.	
I can't pick just one...	3
I think it should be you, but will you be able to return to your normal life after all of this...Wait, I'm going off topic, right?	
Jiho	
Jiho is making a scene about the women's uniform and underwear disappearing. Let's talk to her.	
I want you to form a team and catch every single bear near this locker room.	3
...If you want to say something,it's alright. I'll be listening.	
Let's go tell the manager. 	
Jiho	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
...We should get out of here.	
...It's about to go down...! Where's the popcorn?	-1
James and Bora...Who's the villain?	
Jiho	
Jiho says she wants to cry because the goal keeper on the other team just won't go down no matter how many shots she makes.	
Let's start by picking their defenses apart.	1
Let's come up with a new strategy to giove you more synergy.	1
I'll come up with a formation that can bring the best out of everybody.	
Jiho	
Jiho is getting slow on the field and this is causing trouble. Let's talk with Jiho.	
I think we should come up with an action speed deck or go for counterattacks...	1
I'll try to have the ball come your way.	
We can overcome this with team effort.	3
Jiho	
The team is going to go shop. Which group will you join?	
Manga, anime, and figures...! Here I come!	
It's time for some good food.	
I guess I can go to the soccer gear shop.	3
Jiho	
Jiho looks startled after learning the underworld actually exists.	
It's space. Anything can exist here.	3
How about we ask Jeunese?	
Sounds like a more boring place than Cruzentes.	-1
Jiho	
Jiho, who is determined to make everything in her life, even her dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
It was an intense feeling as if I was going against the strongest team in the universe.	1
I've never dreamt about soccer.	3
I've been chased by a soccer ball monster in my dreams. It was terrifying.	
Jiho	
You find Jiho lurking around the food corner at the shopping center. What should we say?	
Hello! Have you come here to buy food for dinner?	3
Stop wandering around the kids snack corner!	
Hmm, I guess you're more domestic than I thought.	
Jiho	
Jiho announces that she will become an influential player that changes the league completely. Let's give her an answer.	
You'll have to compete with me!	
I feel bad for the players that have to face you.	
I have faith in you.	3
Jiho	
Jiho is telling a story about how an old kingdom in Valhalla was doomed because of the king.	
I'm sure there were mutliple reasons on why the kingdom fell. It's sad to hear such stories.	3
So, is that king entering Galaxy League?	
Pathetic..That is no king.	
Jiho	
Jiho wants the team to enter the Underground League on Earth. What should we do?	
That seems like a dangerous idea... Let's not make any quick decisions.	3
What about just watching?	
Sure. Let's beat them all and take the prize money!	
Jiho	
Jiho is having trouble focusing on the match. Let's help her out.	
I'll teach you how to meditate to synchronize the breathing with other teammates.	3
It's impossible to focus on a field with so many handsome men.	
Just calm down a bit. You got this.	1
Jiho	
Jiho is sad that the World Tree in Umbra has withered. What could we say to cheer her up?	
We'll find the ones that did this and use them as fertilizers.	
It's a big tree. It'll stand strong.	3
Jiho	
Jiho	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
It's time we use him as training material.	3
Stop right there, pig!	
Team! We're having sauteed shredded pork for tonight!	-1
Jiho	
Jiho wants to cherish every precious meeting with other people and beings. She wants to be good friends with everybody. Let's talk to her.	
I'm surprised you care so much for your friends.	-1
Nothing is eternal, but that doesn't make it insignificant.	
It'll be pretty exciting if we could stay the same even after 10 years.	-1
Jiho	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
I'll tackle him down! Knock his lights out!	
Don't kill him, okay?	
We're taking him to the doctor even if that means by force. Help me.	3
Jiho	
It's Jiho's birthday. Let's give her a present.	
Here! I made some cookies with the team.	3
I stole this treasure box from Kuma.	
This is a championship trophy replica for you. The designs are inspired by you.	
Jiho	
You see Jiho's opponent trash talking and smirking towards Jiho. What should we do?	
She is probably not even listening.	-1
Let's see how long they last. Come on guys!	3
Tell me if you like her. Just say the words and i'll scout her.	
Jiho	
Jiho doesn't like the new team advertisement video.	
There's not enough fan service.	-1
It didn't portray your awesome performance.	
It didn't have to have the bench warmers in the video.	3
Jiho	
You find Jiho being very excited after performing an awesome play. How will you react?	
Can't you do that more often?! (Cries)	
Nice play! Fantastic!	1
Now we're starting to look like a team!	3
Jiho	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Jiho seems to be sick of this.	
Okay! Now I'll tell you all the good stuff about Jiho!	
Iron Claw!	
Oh, there's Princess Meiran! (Runs away)	3
Jiho	
You got a couple of tickets to Veronica's live concert. Jiho seems to be interested.	
These are for you, of course. Here.	1
We're going to make it fair and gather everybody around so we can draw for the ticket.	3
I'll give you this, so get rid of that fake ticket.	
Jiho	
Jiho says she doesn't understand why other angels are afraid of Uriel. She thinks Uriel is a very kind angel.	
I think you two have something in common...	
Maybe that's just because she's the leader of that group.	3
Hmm? That is odd... What do you think about this?	
Jiho	
With a serious look on her face, Jiho warns you to go to the bathroom before the match.	
Bathroom... It is indeed a very important matter...	3
Why does an ordinary advice sound so strange..	
I'm surprised you said that. I won't ask what happened to you.	
Jiho	
Jiho is wondering why the team is doing so well recently. Pick an answer.	
It's all thanks to you.	
It's a result of team effort.	3
The opponents are mesmarized by the beauty of our players.	
	
Kevin	
Mimi continues to praise Princess Meiran and it's likely that this isn't going to end any time soon. Kevin seems to be sick of this.	
Okay! Now I'll tell you all the good stuff about Kevin!	1
Iron Claw!	
Oh, there's Princess Meiran! (Runs away)	3
Kevin	
Kevin is furious about how Lucian is always surrounded by girls. What should we say?	
Are you jealous?	-1
He's popular, just not as much as me.	3
He's good looking and has a good personality. Maybe that's why.	
Kevin	
It's a tough match, but Kevin is standing tall and encouraging the team. What should we say to him?	
You really help us a lot in these situations.	3
You're a good person.	
Your spirit is an inspiration to us all.	
Kevin	
Kevin looks sad because he feels his friendship with a friend in a rival team is falling apart. What should we say to him?	
It's not your fault. Let's try to find out why this is happening.	
Try starting off with some small talk.	
If your friend is truly your friend, he will understand.	3
Kevin	
The team is at Metro City. Kevin seems to be surprised how the people of Metro City have mechanical bodies.	
I like how they don't mind physical flaws.	3
I like how even the minority can be saved in this society.	-1
You have a heart of gold.	
Kevin	
Kevin refuses to listen to anybody's advice saying he's the best and he doesn't need any advice. Let's talk to him.	
Are you angry because I wasn't there to oversee your training? I said I'm sorry!	
Well that's absolutely fine if you can actually prove that you're the best.	3
That's not like you...	
Kevin	
Kevin seems to be uncomfortable to hear about the love life of other teammates. Let's talk to him.	
It's all good as long as it doesn't affect the match.	
Should we join the club?	
Just say it. You're jealous.	3
Kevin	
Kevin is depressed thinking that winning the Galaxy League is a goal that can't be achieved. What should we say to him?	
That doesn't change what we must do.	3
Come on, cheer up. You're not being yourself.	-1
Stop whining. I like it better when you're arrogant and sarcastic.	
Kevin	
Kevin, who is determined to make everything in his life, even his dreams, about soccer, asks you what it's like to dream about soccer. Let's think about it.	
It was an intense feeling as if i was going against the strongest team in the universe.	1
I've never dreamt about soccer.	3
I've been chased by a soccer ball monster in my dreams. it was terrifying	
Kevin	
The team seems very nervous facing Skalardra. What should we do?	
Hmm? What's wrong everybody?	3
Political power means nothing on the field.	1
Huh? I think Kevin is prettier.	-1
Kevin	
Kirin suddenly appears, pats Kevin on the head while teasing him, and then goes away. Kevin seems angry...	
He's like the wind. There wasn't even time to chat.	-1
...I think you liked it more than you thought...	
Patting you on the head? He must not fear for his life!	3
Kevin	
Kevin wants to cherish every precious meeting with other people and beings. He wants to be good friends with everybody. Let's talk to him.	
I'm surprised you care so much for your friends.	
Nothing is eternal, but that doesn't make it insignificant.	3
It'll be pretty exciting if we could stay the same even after 10 years.	
Kevin	
Kevin wants the team to enter the Underground League on Earth. What should we do?	
That seems like a dangerous idea...Let's not make any quick decisions.	3
What about just watching?	
Sure. Let's beat them all and take the prize money!	-1
Kevin	
James is fighting Akane after ambushing Yuri, and Bora is slowly making her approach from a distance.	
...We should get out of here.	3
...It's about to go down...! Where's the popcorn?	-1
James and Bora...Who's the villain?	
Kevin	
Kevin is asking you what you think is it that makes this team great. You weren't expecting this, but you should give him an answer.	
We have a strong lineup of players that make our star players shine brighter.	3
Well, you're looking at the one person that is making this team great.	
You. I know you're doing much for the team without taking any credit.	-1
Kevin	
Kevin looks startled after learning the underworld actually exists.	
It's space. Anything can exist here.	3
How about we ask Jeunese?	
Sounds like a more boring place than Cruzentes.	
Kevin	
Kevin seems to be interested in the Micrinum from Kiri, which is said to be good for beauty and anti-aging. Let's talk to him.	
I think that's a good choice.	3
Looks aren't important when it comes to soccer.	1
You're young and good looking even without that.	1
Kevin	
The team is in a slump and you take the team out for refreshment. Talk with Kevin to set some simple rules.	
The team is a mess. Gather everybody on the field. I'll knock that spirit back into you guys if I have to,	
Let's split up and meet back here for dinner. Tell everybody to enjoy their free time.	3
Come on, I'll show you the best spots around!	
Kevin	
You come across an opponent player limping, because of getting injured during a match against your team. Kevin seems to be worried.	
Weakling. Should've been rougher on that player.	-1
It's unfortunate, but that's something that happened during the match and it's not our fault.	3
Let's just go. That player will also feel uncomfortable if we keep standing here.	
Kevin	
The middle fielder on the other team is too powerful. Let's give Kevin some orders.	
Pass? Shoot? Forfeit? Argh! Just make a run for it!	
Make him know who he's up against.	
Let's try out some forward passes.	3
Kevin	
Kevin is spreading the happy news about his cousin having a baby. Let's congratulate him.	
Congratulations!	
So, the numerous baby clothes you've been making were all for this day?	-1
I hope that baby comes to be a great soccer player, just like you.	3
Kevin	
Kevin is interested in Selena and is asking for your opinion. What should we say?	
She's kind and sweet.  Maybe you'll have a shot?	
Be honest and show a sincere attitude.	
Considering your personality, I think she'll accept you.	3
Kevin	
It seems that Kevin is lost in the Nadir forest. What should we do?	
Listen carefully and you'll find him.	
Let's ask Khirel to find him...	
Kevin? Nah, he never gets lost.	3
Kevin	
Kevin, who has shown absolutely superb chemistry with you, is embarrassed and says he didn't do all of that because of you. What should we say?	
Stop being embarrassed and just accept the compliments, will you?	-1
Yeah?  Well, I did what I did for you.	-1
I know.	3
Kevin	
Kevin looks disappointed about the size of the Galaxy League. What would be an appropriate response?	
Nervous? Trust me. I got you.	
What were you expecting? An intergalactic war?	3
Isn't it awesome to see the galaxy come together for soccer?	
Kevin	
Kevin announces that he will become an influential player that changes the league completely. Let's give him an answer.	
You'll have to compete with me!	
I feel bad for the players that have to face you.	
I have faith in you.	3
Kevin	
A teammate is being stubborn about going out on the field while having a very severe fever. What should we do?	
I'll tackle him down! Knock his lights out!	
Don't kill him, okay?	
We're taking him to the doctor even if that means by force. Help me.	3
Kevin	
Kuma is furiously chasing Ogre. Kevin seems confused.	
Two bears... which one is kuma?	
Well,one thing is for sure.One of them did something stupid.	3
Looks like Orge is goofing around. I mean the gut has like over 200 pounds over Kuma.	
Kevin	
Kevin is sad that the World Tree in Umbra has withered. What could we say to cheer him up?	
We'll find the ones that did this and use them as fertilizers.	
It's a big tree. It'll stand strong.	3
Who could've done such a hideous thing?	1
Kevin	
Kevin says he doesn't understand why other angels are afraid of Uriel. He thinks Uriel is a very kind angel.	
I think you two have something in common...	-1
Maybe that's just because she's the leader of that group.	3
Hmm? That is odd... What do you think about this?	
Kevin	
You find Kevin lurking around the food corner at the shopping center. What should we say?	
Hello! Have you come here buy food for dinner?	3
Stop wandering around the kids snack corner!	
Hmm, I guess you're more domestic than I thought.	
Kevin	
Kevin wants to have an academic conversation about the 5th dimension, string theory, and other infamously hard space theories. Why...?	
(He wants you to be a good listener.)	3
0	1
(May he brought snacks but is too shy to share it with me.)	
Kevin	
A teammate that is a former member of the Dark Sisters is down sick, suffering from the aftermath of performing exorcism. Let's talk with Kevin about what to do.	
Let's go visit her. Some fun won't do any harm. It might even cheer her up!	-1
Let's leave her alone. She may find all this attetion uncomfortable.	3
Let's be prepared to take care of her in case her sickness get worse.	-1
Kevin	
Kevin seems to be determined to crush the opposing team. Let's give him some advice.	
That's the spirit! Let's teach them a lesson!	
With your skills and dedications, I have no doubt that you will.	3
I like how you're doing your best.	
Kevin	
Something must have startled Beelzebub. He has entered the field and is making a scene.	
It's time we use him as training material.	3
Stop right there, pig!	
Team! We're having sauteed shredded pork for tonight!	
Kevin	
Kevin came back without a penny after marching into the Casino.	
What happened to you? Do you want me to lend you some money?	-1
I'm sure you got scammed.	-1
I hope that wasn't all you got.	3
Kevin	
Kevin caught a player on the other team spying on your team's practice. What should we do?	
I think we should hang him.	
Why don't we take this opportunity to see how our opponents are practicing.	3
You came to see my marvelous moves? I'm flattered.	
Kevin	
Kevin is asking about what's the most important condition in winning today's match. Let's give him an answer.	
We need a decent level of personal performance.	3
What could it be? Money? Luck? Weather? Hmm? What?	
Wreck the other team.	
Kevin	
Kevin is angry because he was criticized by his performance and is asking your opinion. Let's give him an answer.	
I want to practice with you, if that's okay with you. No?	
I admit it. You're the best in the team.	3
I'm sure the lessin here is that all of us need to learn.	-1
	
Nari	
The team manger ran away with all of the team's money. What should we do?	
We could start a reset marathon.	
We're going to hunt that manager down and take back our money. We will show no mercy!	
Let's ask for help to the League officials on this planet.	3
Nari	
Nari is dancing and singing a song about the galaxy.	
The stage is so majestic! It's awesome!	-1
This proves that even the aliens like Nari.	
I think she's something more than just an idol.	
Nari	
Nari is looking excited and asks how the match went.	
The other team went home crying!	
They were a worthy opponent.	3
I led our team to victory with wedgies!	
Nari	
Nari is wondering why the team is doing so well recently. Pick an answer.	
It's all thanks to you.	
It's a result of team effort.	3
The opponents are mesmarized by the beauty of our players.	
Nari	
